row_id,QuestionId,QuestionText,MC_Answer,StudentExplanation,Category,Misconception
25781_4,33472,\( \frac{1}{3}+\frac{2}{5}= \),\( \frac{3}{15} \),I just made both numbers have 15! ...,False_Misconception,Denominator-only_change
9480_3,31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 72 \),"It's more than half of five! See, 72’s bigger than half of 120 too—that’s why I picked it.",True_Correct,
30401_8,89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -3 \),I just took away the numbers!,True_Neither,
4162_8,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),'Cause I saw three not colored!,False_Neither,
28866_5,76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],\( 10 \),"Um, I thought... my teacher said angles add up! So, like, I multiplied 144 by 10 'cause it looked like a ten-sided thingy?",True_Correct,
33497_9,91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 26 \),"Um, like, I think it a...",True_Neither,
8090_7,31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 24 \),Three-fifths of 120 is seventy-two!,False_Correct,
27237_0,33474,"Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten?
Choose the number sentence that would solve the word problem.",\( \frac{2}{3}-\frac{1}{3} \),"I thought Robert ate part *of* Sally's cake, so I subtracted! My teacher said that means taking something away.",False_Misconception,Subtraction
29362_9,89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -13 \),"Um... I think it's like, minus eight take away minus five… so that’s like, two minuses make a plus? Then eight plus five is thirteen!",False_Misconception,Positive
28935_2,76870,This is part of a regular polygon. How many sides does it have? [Image: A diagram showing an obtuse angle labelled 144 degrees],\( 10 \),It’s like… angles!,True_Neither,
1187_6,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{1}{3} \),"""I counted nine triangles! Three aren't colored, so it’s like three out of nine—my teacher said we could make that simpler, and it becomes one-third!""",True_Correct,
33740_7,91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 26 \),Just add four each time!,True_Misconception,Wrong_term
19819_0,32835,Which number is the greatest?,\( 6 \),It's biggest 'cause adding zero makes it super big!,False_Correct,
4774_2,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),"I counted three unshaded triangles out of nine total; therefore, my answer is three-ninths.",False_Misconception,Incomplete
8364_3,31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 48 \),"Um, I… like, I made 120 into a fraction... it was kinda hard, and then got 48?",False_Neither,
7997_6,31777,"A box contains \( 120 \) counters. The counters are red or blue. \( \frac{3}{5} \) of the counters are red.
How many red counters are there?",\( 24 \),"Um, I thought five went into twelve, so then... twenty-four?",False_Neither,
22356_6,33471,A bag contains \( 24 \) yellow and green balls. \( \frac{3}{8} \) of the balls are yellow. How many of the balls are green?,\( 15 \),"'Cause I figured out 3/8, see?",True_Misconception,Wrong_fraction
13408_2,31778,\( \frac{A}{10}=\frac{9}{15} \) What is the value of \( A \) ?,\( 6 \),"My teacher said times tables help! Nine's a three times table number, fifteen too. So I thought it was like six tenths, so A must be six!",True_Misconception,Irrelevant
18513_4,32833,Calculate \( \frac{2}{3} \times 5 \),\( \frac{10}{15} \),"So, like, three groups of five makes fifteen, and then two times five is ten!",False_Misconception,Duplication
19230_5,32833,Calculate \( \frac{2}{3} \times 5 \),\( \frac{2}{15} \),"Um, I kept the 2…and then multiplied by 15?",False_Misconception,Inversion
29641_4,89443,"What number belongs in the box?
\(
(-8)-(-5)=
\square\)",\( -13 \),"It looks like I subtracted wrong, maybe?",False_Neither,
18992_6,32833,Calculate \( \frac{2}{3} \times 5 \),\( \frac{10}{15} \),"Um... I multiplied two and five… so, like, ten?",False_Correct,
2970_8,31772,What fraction of the shape is not shaded? Give your answer in its simplest form. [Image: A triangle split into 9 equal smaller triangles. 6 of them are shaded.],\( \frac{3}{9} \),"I counted nine little triangles! Three are shaded, so that's 3/9.",False_Neither,
33740_9,91695,"Dots have been arranged in these patterns: [Image: Pattern 1 consists of 6 dots, Pattern 2 consists of 10 dots, Pattern 3 consists of 14 dots and Pattern 4 consists of 18 dots] How many dots would there be in Pattern \( 6 \) ?",\( 26 \),"I added four each time, so six is twenty-six.",True_Misconception,Wrong_term
