row_id,QuestionId,QuestionText,MC_Answer,StudentExplanation,Category,Misconception
27027,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{1}{3}+\frac{2}{3} \),i think this because two thirds is double one third,False_Neither,
27198,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{2}{3}-\frac{1}{3} \),2/3 - 1/3 (because 1/3 of 2/3 cake has been eaten) = 1/3,False_Neither,
27312,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{2}{3}-\frac{1}{3} \),because he has eaten some of the cake so you must subtract,False_Neither,
27458,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{2}{3}-\frac{1}{3} \),because sally puts 2 in the fridge then robert eats 1. - - 3. 3,False_Neither,
27471,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{2}{3}-\frac{1}{3} \),because that is the calculation to get answer,False_Neither,
27554,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{2}{3}-\frac{1}{3} \),because you start with 2/3 and 1/3 is gone so you subtract the fractions starting with the bigger fraction 2/3.,False_Neither,
27615,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{2}{3}-\frac{1}{3} \),he eats 1 third out of the 2 thirds,False_Neither,
27036,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{2}{3} \div \frac{1}{3} \),1/3 of 2/3 would give the answer as 2/3 is also a fraction of the whole cake.,False_Neither,
27076,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{2}{3} \div \frac{1}{3} \),because the whole cake is 3/3 and he ate 1/3 of 2/3 which is 2/6 of the whole cake,False_Neither,
27090,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{2}{3} \div \frac{1}{3} \),because you taken a third of a third,False_Neither,
26478,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{1}{3} \times \frac{2}{3} \),"If you needd to work out a third of something, you do this by dividing it by three.",True_Misconception,Division
26493,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{1}{3} \times \frac{2}{3} \),One third of two thirds is equal to one third divided by two threes so to work out what the remainder is you need to multiply one by twice three.,True_Misconception,Division
26398,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{1}{3} \times \frac{2}{3} \),1/3 plus 2/3 is obviously not the answer.,True_Neither,
26776,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{1}{3} \times \frac{2}{3} \),i worked it out and then found the matching pair,True_Neither,
26818,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{1}{3} \times \frac{2}{3} \),it is the only answer that would work.,True_Neither,
26827,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{1}{3} \times \frac{2}{3} \),it would be b because yo would have one fraction of the cake left and you would show that by timising ad having the left over 1/3.,True_Neither,
26911,33474,Sally has \( \frac{2}{3} \) of a whole cake in the fridge. Robert eats \( \frac{1}{3} \) of this piece. What fraction of the whole cake has Robert eaten? Choose the number sentence that would solve the word problem.,\( \frac{1}{3} \times \frac{2}{3} \),this because multiplying by 1/3 is the same as dividing by 3.,True_Neither,
